,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
47,Likelihood,1e-05,True,32.0,1024.0,2048.0,0.1,0.1,0.0,0.1,RMSProp,LeakyRelu,True,1.190616488456726
48,MSE,5e-05,True,128.0,4096.0,2048.0,0.0,0.1,0.0,0.0,Adagrad,Sigmoid,True,1.345726490020752
49,MSE,5e-05,True,32.0,1024.0,512.0,0.0,0.3,0.001,0.0,Adam,Tanh,False,0.854787290096283
50,Likelihood,0.0001,False,32.0,2048.0,1024.0,0.1,0.1,0.0,0.5,Adagrad,Sigmoid,True,1.299106240272522
51,Likelihood,1e-05,False,64.0,4096.0,2048.0,0.5,0.0,0.0,0.0,RMSProp,Tanh,True,0.7508482336997986
52,Likelihood,5e-05,True,32.0,1024.0,512.0,0.5,0.1,0.0,0.1,Adagrad,LeakyRelu,True,1.4603019952774048
53,MSE,5e-05,False,64.0,2048.0,1024.0,0.3,0.3,0.0,0.0,Adagrad,Tanh,True,1.3953896760940552
54,MSE,5e-05,True,64.0,1024.0,1024.0,0.5,0.3,0.0,0.3,Adagrad,LeakyRelu,False,1.467484474182129
55,Likelihood,0.0001,False,64.0,2048.0,1024.0,0.0,0.3,0.0,0.0,Adagrad,Relu,True,1.3411962985992432
56,MSE,1e-05,True,128.0,2048.0,2048.0,0.3,0.0,0.0,0.1,RMSProp,LeakyRelu,False,0.9643306136131288
57,Likelihood,0.0001,False,128.0,1024.0,2048.0,0.5,0.5,0.0,0.0,Adagrad,Relu,True,1.4341535568237305
58,MSE,5e-05,True,32.0,1024.0,1024.0,0.3,0.3,0.0,0.0,Adagrad,Sigmoid,True,1.361882567405701
59,MSE,0.0001,False,128.0,1024.0,2048.0,0.3,0.3,0.0,0.5,Adagrad,Relu,True,1.767744541168213
60,MSE,0.0001,True,64.0,2048.0,512.0,0.3,0.1,0.0001,0.5,Adam,Sigmoid,False,1.2002816200256348
61,MSE,5e-05,False,64.0,4096.0,512.0,0.5,0.1,0.0,0.3,Adam,LeakyRelu,True,1.124983310699463
62,MSE,5e-05,False,32.0,1024.0,2048.0,0.1,0.5,0.0,0.0,Adagrad,LeakyRelu,False,1.4608620405197144
63,MSE,5e-06,True,128.0,4096.0,2048.0,0.1,0.3,0.0,0.5,RMSProp,Relu,True,1.2409061193466189
64,MSE,5e-05,True,32.0,2048.0,1024.0,0.0,0.1,0.0,0.3,Adagrad,Relu,False,1.378352165222168
65,MSE,5e-06,True,32.0,1024.0,512.0,0.0,0.1,0.0,0.1,RMSProp,Sigmoid,False,1.220573902130127
66,Likelihood,5e-06,True,128.0,4096.0,512.0,0.1,0.5,0.0,0.5,RMSProp,Relu,True,1.334733247756958
67,MSE,5e-05,True,64.0,2048.0,2048.0,0.0,0.3,0.0,0.0,Adagrad,Relu,True,2.0360748767852783
68,Likelihood,0.0001,False,64.0,2048.0,2048.0,0.1,0.3,0.0,0.0,Adagrad,LeakyRelu,False,1.353687047958374
69,MSE,5e-05,False,128.0,2048.0,1024.0,0.3,0.5,0.0,0.1,Adam,Sigmoid,True,1.1891824007034302
70,Likelihood,0.0001,False,64.0,4096.0,1024.0,0.3,0.3,0.001,0.5,Adam,LeakyRelu,False,1.2240740060806274
71,Likelihood,0.0001,True,64.0,4096.0,512.0,0.3,0.0,1e-05,0.5,Adam,Relu,False,1.152777075767517
72,Likelihood,5e-05,True,32.0,4096.0,512.0,0.5,0.0,0.0001,0.5,Adam,LeakyRelu,False,1.116726040840149
73,MSE,5e-05,True,32.0,2048.0,2048.0,0.0,0.1,0.0,0.0,Adam,Tanh,False,0.6645591259002686
74,MSE,5e-05,True,128.0,1024.0,512.0,0.3,0.1,0.0,0.5,Adagrad,Sigmoid,False,1.3434398174285889
75,Likelihood,0.0001,False,32.0,1024.0,1024.0,0.3,0.3,0.0,0.0,Adagrad,Sigmoid,False,1.356808066368103
76,Likelihood,5e-06,False,128.0,1024.0,512.0,0.0,0.5,0.0,0.1,RMSProp,LeakyRelu,True,1.2908507585525513
77,MSE,5e-05,True,64.0,4096.0,2048.0,0.0,0.5,0.001,0.3,Adam,Sigmoid,True,1.2025742530822754
78,MSE,0.0001,False,128.0,4096.0,512.0,0.1,0.5,0.0,0.1,Adagrad,LeakyRelu,True,1.344452738761902
79,MSE,1e-05,True,32.0,4096.0,2048.0,0.3,0.1,0.0,0.1,RMSProp,LeakyRelu,True,1.0513148307800293
80,Likelihood,5e-06,True,128.0,1024.0,2048.0,0.1,0.1,0.0,0.1,RMSProp,LeakyRelu,True,1.2964829206466677
81,MSE,1e-05,False,32.0,1024.0,512.0,0.5,0.1,0.0,0.5,RMSProp,Relu,False,1.151661992073059
82,MSE,5e-05,True,32.0,1024.0,512.0,0.3,0.3,0.001,0.3,Adam,Sigmoid,True,1.162413477897644
83,Likelihood,0.0001,True,64.0,2048.0,1024.0,0.0,0.1,1e-05,0.0,Adam,Relu,False,1.2229644060134888
84,MSE,0.0001,False,32.0,1024.0,1024.0,0.5,0.5,0.001,0.5,Adam,LeakyRelu,True,1.197480320930481
85,Likelihood,0.0001,True,128.0,2048.0,512.0,0.1,0.0,0.0,0.3,Adagrad,Relu,False,1.3050005435943604
86,Likelihood,0.0001,True,32.0,1024.0,512.0,0.3,0.5,0.0,0.5,Adagrad,Tanh,False,1.3225258588790894
87,Likelihood,0.0001,False,32.0,2048.0,2048.0,0.3,0.0,0.0,0.1,Adagrad,Relu,False,1.271185278892517
88,Likelihood,0.0001,False,32.0,2048.0,512.0,0.5,0.3,0.0,0.5,Adagrad,Relu,True,1.3748459815979004
89,MSE,1e-05,True,64.0,4096.0,2048.0,0.0,0.1,0.0,0.0,RMSProp,Sigmoid,True,1.2001951932907104
90,Likelihood,0.0001,False,32.0,1024.0,512.0,0.0,0.3,0.0,0.5,Adagrad,Sigmoid,True,1.293294072151184
91,MSE,5e-06,True,128.0,4096.0,2048.0,0.1,0.3,0.0,0.0,RMSProp,Tanh,False,0.8181056976318359
92,MSE,5e-05,True,128.0,2048.0,1024.0,0.3,0.0,0.0,0.1,Adagrad,Sigmoid,False,1.367294192314148
93,MSE,5e-05,True,128.0,1024.0,1024.0,0.1,0.3,1e-05,0.5,Adam,LeakyRelu,True,1.1746891736984253
